city,year,ng_residential_mmbtu
St. Louis,2040,11590787.3500558
St. Louis,2041,11512548.8889779
St. Louis,2042,11440807.6797408
St. Louis,2043,11354640.8689205
St. Louis,2044,11275000.088833
St. Louis,2045,11200878.3945658
St. Louis,2046,11133795.8446119
St. Louis,2047,11062738.9440938
St. Louis,2048,10992811.7538399
St. Louis,2049,10914987.8130134
St. Louis,2050,10834289.2926344
