city,year,electricity_emissions_mt_co2
Savannah,2050,166337.77047515294
St. Louis,2027,2654481.4649619553
St. Louis,2028,2742027.5170713104
St. Louis,2029,2639520.110099885
St. Louis,2030,2520378.1840347783
St. Louis,2031,2407414.6685913904
St. Louis,2032,1177551.7853314346
St. Louis,2033,1033971.9256240606
St. Louis,2034,956295.9485079228
St. Louis,2035,872203.3137915012
St. Louis,2036,717983.5607930835
St. Louis,2037,586081.6614019785
St. Louis,2038,476190.82422572863
St. Louis,2039,264354.23898396594
St. Louis,2040,261625.8084585926
St. Louis,2041,261832.87439712137
St. Louis,2042,257636.3190681016
St. Louis,2043,255165.75101187508
St. Louis,2044,251499.77035014128
St. Louis,2045,250274.2857219373
St. Louis,2046,247661.1098013077
St. Louis,2047,247271.58504717937
St. Louis,2048,251337.50463687343
St. Louis,2049,255580.6375984555
St. Louis,2050,243921.9106764531
