city,year,transport_old_mt_co2,transport_new_mt_co2,delta_mt_co2,pct_change
Chattanooga,2037,1178157.3424067858,414318.51385768986,-763838.8285490959,-64.83334619709589
Chattanooga,2038,1146626.0536880577,400864.6120008193,-745761.4416872384,-65.0396386239907
Chattanooga,2039,1116665.3132764357,387774.8414063738,-728890.4718700619,-65.2738527116425
Chattanooga,2040,1090463.9103799688,376172.0919440661,-714291.8184359027,-65.50348082468955
Chattanooga,2041,1057216.6299704844,365495.63130791526,-691720.9986625691,-65.42850150606132
Chattanooga,2042,1035772.663365919,355576.7275864462,-680195.9357794728,-65.67038886400618
Chattanooga,2043,1015569.9412189332,346383.5601581205,-669186.3810608126,-65.89269275315738
Chattanooga,2044,1003134.6174814224,338160.4873121236,-664974.1301692987,-66.28962041394347
Chattanooga,2045,989780.7733605944,330558.59303956915,-659222.1803210252,-66.6028476268309
Chattanooga,2046,980367.8679640512,323922.54822691355,-656445.3197371376,-66.95908150278225
Chattanooga,2047,970492.093678452,317857.41609055,-652634.6775879019,-67.24780983163124
Chattanooga,2048,968065.7802681644,312908.860801032,-655156.9194671323,-67.67690097315979
Chattanooga,2049,972433.9222240328,308764.6322425893,-663669.2899814434,-68.24826600696731
Chattanooga,2050,979497.367861704,305767.08713333186,-673730.280728372,-68.78326607443182
Cincinnati,2027,1603108.6910768675,790105.3470394884,-813003.3440373791,-50.714174813141
Cincinnati,2028,1539102.1430715837,755245.9735528505,-783856.1695187332,-50.92944435477119
Cincinnati,2029,1506549.9665316714,727466.4501040609,-779083.5164276104,-51.713088429532164
Cincinnati,2030,1455393.219742279,701139.8494108679,-754253.3703314111,-51.82471376807529
Cincinnati,2031,1408367.275946535,675758.3513564976,-732608.9245900373,-52.01831490281295
Cincinnati,2032,1355844.0604569844,652817.2008031489,-703026.8596538355,-51.85160153424147
Cincinnati,2033,1339843.91634235,630680.0709661031,-709163.8453762468,-52.9288401974611
Cincinnati,2034,1290575.3868787491,608971.9849095145,-681603.4019692346,-52.8139160950287
Cincinnati,2035,1250086.09034508,588419.128987005,-661666.961358075,-52.92971151894228
Cincinnati,2036,1212714.8061151672,568964.1878538398,-643750.6182613274,-53.08343025212415
Cincinnati,2037,1178157.3424067858,550789.2747855564,-627368.0676212294,-53.24993912439721
Cincinnati,2038,1146626.0536880577,533163.9271813532,-613462.1265067045,-53.50149898770731
Cincinnati,2039,1116665.3132764357,517445.671935441,-599219.6413409947,-53.66152545589594
Cincinnati,2040,1090463.9103799688,503768.1353755464,-586695.7750044224,-53.8024018419821
Cincinnati,2041,1057216.6299704844,491531.7198271972,-565684.9101432872,-53.507000751499724
Cincinnati,2042,1035772.663365919,480604.55542979715,-555168.1079361219,-53.59941689636884
Cincinnati,2043,1015569.9412189332,471281.5850805184,-544288.3561384148,-53.59437435546145
Cincinnati,2044,1003134.6174814224,463179.5297771535,-539955.0877042689,-53.82678239735542
Cincinnati,2045,989780.7733605944,455685.2979843704,-534095.475376224,-53.960987094426386
Cincinnati,2046,980367.8679640512,450691.74780694547,-529676.1201571057,-54.02830278975731
Cincinnati,2047,970492.093678452,442358.3443104183,-528133.7493680336,-54.41917072876406
Cincinnati,2048,968065.7802681644,438114.86519283167,-529950.9150753326,-54.74327528946748
Cincinnati,2049,972433.9222240328,435788.697089995,-536645.2251340378,-55.1857779607984
Cincinnati,2050,979497.367861704,435704.1708667561,-543793.1969949479,-55.51757614030939
Cleveland,2027,1603108.6910768675,837285.0522472605,-765823.638829607,-47.77116131253551
Cleveland,2028,1539102.1430715837,800344.1146109939,-738758.0284605898,-47.999285283707785
Cleveland,2029,1506549.9665316714,770905.7873937736,-735644.1791378978,-48.8297232405423
Cleveland,2030,1455393.219742279,743007.1415745963,-712386.0781676827,-48.94801408335763
Cleveland,2031,1408367.275946535,716110.0334811043,-692257.2424654306,-49.15317575809042
Cleveland,2032,1355844.0604569844,691798.9938056406,-664045.0666513438,-48.9765074036264
Cleveland,2033,1339843.91634235,668339.9854826798,-671503.9308596702,-50.11807141631943
Cleveland,2034,1290575.3868787491,645335.6405099704,-645239.7463687788,-49.99628482992289
Cleveland,2035,1250086.09034508,623555.5081397882,-626530.5822052918,-50.11899476717969
Cleveland,2036,1212714.8061151672,602938.8505457275,-609775.9555694397,-50.281892535212556
Cleveland,2037,1178157.3424067858,583678.6555666818,-594478.686840104,-50.45834418225327
Cleveland,2038,1146626.0536880577,565000.8423548647,-581625.211333193,-50.724925485726445
Cleveland,2039,1116665.3132764357,548344.0000564014,-568321.3132200344,-50.89450764370109
Cleveland,2040,1090463.9103799688,533849.7342523847,-556614.1761275841,-51.04379620721547
Cleveland,2041,1057216.6299704844,520882.64338265714,-536333.9865878273,-50.730755777347234
Cleveland,2042,1035772.663365919,509302.98321749916,-526469.6801484199,-50.82869038439066
Cleveland,2043,1015569.9412189332,499423.30863328784,-516146.63258564536,-50.82334673731508
Cleveland,2044,1003134.6174814224,490837.45381860196,-512297.1636628204,-51.06963260315438
Cleveland,2045,989780.7733605944,482895.7175910404,-506885.055769554,-51.21185108986624
Cleveland,2046,980367.8679640512,477603.9866378572,-502763.881326194,-51.28318641963383
Cleveland,2047,970492.093678452,468772.96909300506,-501719.1245854469,-51.697394327426515
Cleveland,2048,968065.7802681644,464276.09833014826,-503789.6819380161,-52.04085220308697
Cleveland,2049,972433.9222240328,461811.0273256078,-510622.89489842503,-52.50977811742625
Cleveland,2050,979497.367861704,461721.45377252897,-517775.914089175,-52.86138902236236
Columbus,2027,1603108.6910768675,2228158.1921678535,625049.501090986,38.98983921490171
Columbus,2028,1539102.1430715837,2129852.062612944,590749.9195413601,38.382762456713984
Columbus,2029,1506549.9665316714,2051511.6577810217,544961.6912493503,36.17282555214168
Columbus,2030,1455393.219742279,1977268.6075013764,521875.3877590974,35.85803346339013
Columbus,2031,1408367.275946535,1905690.819765545,497323.54381901,35.31206328865949
Columbus,2032,1355844.0604569844,1840995.000739977,485150.94028299255,35.78220788307126
Columbus,2033,1339843.91634235,1778566.582324234,438722.6659818841,32.7443115299248
Columbus,2034,1290575.3868787491,1717348.1005553023,426772.7136765532,33.068406387998856
Columbus,2035,1250086.09034508,1659387.4571198686,409301.3667747886,32.74185433595241
Columbus,2036,1212714.8061151672,1604523.0183125222,391808.212197355,32.308355618455806
Columbus,2037,1178157.3424067858,1553268.3576564789,375111.01524969307,31.838787719423085
Columbus,2038,1146626.0536880577,1503563.5141172428,356937.46042918507,31.12936944709358
Columbus,2039,1116665.3132764357,1459236.8185392488,342571.50526281307,30.678082428983615
Columbus,2040,1090463.9103799688,1420665.1075024914,330201.19712252263,30.280800123634084
Columbus,2041,1057216.6299704844,1386157.4691869363,328940.83921645186,31.1138540476454
Columbus,2042,1035772.663365919,1355342.0203857594,319569.3570198404,30.85323337085819
Columbus,2043,1015569.9412189332,1329050.5228823952,313480.581663462,30.86745372625034
Columbus,2044,1003134.6174814224,1306202.100244537,303067.4827631146,30.212045071680254
Columbus,2045,989780.7733605944,1285067.7869207973,295287.0135602029,29.833577445399083
Columbus,2046,980367.8679640512,1270985.5891765086,290617.7212124574,29.643741977793375
Columbus,2047,970492.093678452,1247484.7467394818,276992.65306102985,28.541464156719275
Columbus,2048,968065.7802681644,1235517.8074008578,267452.02713269345,27.627464226512217
Columbus,2049,972433.9222240328,1228957.8334250888,256523.91120105598,26.37957246641146
Columbus,2050,979497.367861704,1228719.4629375732,249222.09507586923,25.443875936076747
Dayton,2027,1603108.6910768675,347238.63064659765,-1255870.06043027,-78.33967013095385
Dayton,2028,1539102.1430715837,331918.49497095164,-1207183.648100632,-78.43427764264284
Dayton,2029,1506549.9665316714,319709.83986120374,-1186840.1266704677,-78.77867664772985
Dayton,2030,1455393.219742279,308139.7210048543,-1147253.4987374246,-78.82773419410186
Dayton,2031,1408367.275946535,296984.95960350113,-1111382.3163430337,-78.91281878841556
Dayton,2032,1355844.0604569844,286902.69179775735,-1068941.3686592272,-78.83955093618529
Dayton,2033,1339843.91634235,277173.77820431784,-1062670.138138032,-79.31298005509652
Dayton,2034,1290575.3868787491,267633.42247265164,-1022941.9644060975,-79.262472754891
Dayton,2035,1250086.09034508,258600.77186074236,-991485.3184843377,-79.31336298691582
Dayton,2036,1212714.8061151672,250050.63719363336,-962664.1689215339,-79.38091990526198
Dayton,2037,1178157.3424067858,242063.0543357284,-936094.2880710574,-79.4540978846482
Dayton,2038,1146626.0536880577,234316.99668697806,-912309.0570010797,-79.56465441079847
Dayton,2039,1116665.3132764357,227409.07554937885,-889256.2377270568,-79.63498347753524
Dayton,2040,1090463.9103799688,221398.01755126202,-869065.8928287068,-79.69689639026049
Dayton,2041,1057216.6299704844,216020.30912927465,-841196.3208412097,-79.5670723477642
Dayton,2042,1035772.663365919,211217.9955942242,-824554.6677716948,-79.60768776153684
Dayton,2043,1015569.9412189332,207120.69961999435,-808449.2415989388,-79.60547164566542
Dayton,2044,1003134.6174814224,203559.9762310121,-799574.6412504104,-79.7076112534037
Dayton,2045,989780.7733605944,200266.38152845134,-789514.3918321431,-79.7665920657876
Dayton,2046,980367.8679640512,198071.79629729048,-782296.0716667607,-79.79617623447513
Dayton,2047,970492.093678452,194409.39908709287,-776082.6945913591,-79.96795642608238
Dayton,2048,968065.7802681644,192544.45805930538,-775521.322208859,-80.11039518347933
Dayton,2049,972433.9222240328,191522.14447832605,-780911.7777457067,-80.30486801197763
Dayton,2050,979497.367861704,191484.99655859463,-788012.3713031093,-80.45068799147293
Hampton,2027,1603108.6910768675,215231.51067456862,-1387877.180402299,-86.57411616114503
Hampton,2028,1539102.1430715837,206199.57665696729,-1332902.5664146165,-86.60260609828954
Hampton,2029,1506549.9665316714,199000.6664144445,-1307549.3001172268,-86.79096805049372
Hampton,2030,1455393.219742279,192136.6124787973,-1263256.6072634817,-86.79830235069936
Hampton,2031,1408367.275946535,185493.69984271497,-1222873.57610382,-86.82916714902734
Hampton,2032,1355844.0604569844,179946.53037134575,-1175897.5300856386,-86.7280806385142
Hampton,2033,1339843.91634235,174241.98697251306,-1165601.9293698368,-86.99535185798524
Hampton,2034,1290575.3868787491,168571.82431372616,-1122003.562565023,-86.9382427382707
Hampton,2035,1250086.09034508,163391.99845145634,-1086694.0918936236,-86.92954031619111
Hampton,2036,1212714.8061151672,158897.6105120589,-1053817.1956031083,-86.89736369088504
Hampton,2037,1178157.3424067858,153824.9306182371,-1024332.4117885487,-86.94360039347566
Hampton,2038,1146626.0536880577,149603.51513707696,-997022.5385509807,-86.95271970701471
Hampton,2039,1116665.3132764357,145696.31724096296,-970968.9960354727,-86.95255279189502
Hampton,2040,1090463.9103799688,142206.72340882025,-948257.1869711486,-86.95906191345033
Hampton,2041,1057216.6299704844,139212.38808187938,-918004.241888605,-86.8321795046143
Hampton,2042,1035772.663365919,136961.35416471155,-898811.3092012075,-86.77689043079855
Hampton,2043,1015569.9412189332,134516.65147331104,-881053.2897456222,-86.75456548941789
Hampton,2044,1003134.6174814224,132677.99545811478,-870456.6220233076,-86.77365997085911
Hampton,2045,989780.7733605944,131562.2230224448,-858218.5503381495,-86.70794315636657
Hampton,2046,980367.8679640512,130636.62735591392,-849731.2406081373,-86.67473388053718
Hampton,2047,970492.093678452,130036.933970864,-840455.1597075879,-86.60092804280501
Hampton,2048,968065.7802681644,129522.52103409269,-838543.2592340717,-86.62048347600785
Hampton,2049,972433.9222240328,129747.68087978734,-842686.2413442455,-86.65742957803815
Hampton,2050,979497.367861704,130714.46475952292,-848782.903102181,-86.65494476571389
Jackson,2027,1603108.6910768675,526565.6996177421,-1076542.9914591254,-67.15346236043244
Jackson,2028,1539102.1430715837,502241.71253930434,-1036860.4305322794,-67.3678764726439
Jackson,2029,1506549.9665316714,482302.751296667,-1024247.2152350044,-67.98627579495367
Jackson,2030,1455393.219742279,463365.84730176395,-992027.3724405151,-68.16215432253995
Jackson,2031,1408367.275946535,445113.1273732273,-963254.1485733076,-68.39509586914563
Jackson,2032,1355844.0604569844,429095.50391559105,-926748.5565413934,-68.35214930462097
Jackson,2033,1339843.91634235,412996.4357492344,-926847.4805931156,-69.17578005080797
