city,state,region,year,v1_excel_mt_co2,v2_city_specific_mt_co2,v3_mpg_split_mt_co2,v2_v1_delta,v2_v1_pct,v3_v1_delta,v3_v1_pct,v3_v2_delta,v3_v2_pct,v2_gasoline,v2_diesel,v2_ethanol,v2_electricity,v3_gasoline,v3_diesel,v3_ethanol,v3_electricity
Atlanta,Georgia,SRSE,2049,972433.9222240328,816044.1378589536,971312.5480310839,-156389.78436507925,-16.082304492978146,-1121.3741929489188,-0.11531623561467784,155268.41017213033,19.026962264505254,678955.7913853483,61032.633211903456,23763.508354284408,52292.20490741729,809179.1559461037,72764.14590604423,20613.838541865745,68755.40763707021
Atlanta,Georgia,SRSE,2050,979497.367861704,816177.3162788259,978051.2587532008,-163320.0515828781,-16.673863242676664,-1446.1091085032094,-0.14763787590977853,161873.9424743749,19.833183212246354,671977.1492935502,62096.41432741773,22034.774700489234,60068.97795736866,801377.9416395781,78636.41761083959,19117.248960043886,78919.65054273924
Birmingham,Alabama,SRSE,2027,1603108.6910768675,798774.886106255,875195.4296996326,-804333.8049706125,-50.1733793502368,-727913.261377235,-45.40635737482457,76420.54359337757,9.567219115500825,681868.5060217015,33882.918175862615,81488.23229534252,1535.2296133483972,772064.5561684786,29837.140101853438,71272.26893201003,2021.4644972906094
Birmingham,Alabama,SRSE,2028,1539102.1430715837,762638.8754997954,837652.6028485786,-776463.2675717883,-50.449105737855824,-701449.5402230051,-45.57524290253559,75013.72734878317,9.836074419838999,651757.1331150505,33615.764602314586,75593.72751219045,1672.2502702398956,740084.8409350778,29418.945232289974,65942.12938443538,2206.687296775491
Birmingham,Alabama,SRSE,2029,1506549.9665316714,733229.2372231574,817390.7652533094,-773320.7293085139,-51.330572930735705,-689159.201278362,-45.74419810747606,84161.52803015197,11.478201326079624,628004.3921119351,33310.3803747004,70124.93142553144,1789.5333109905566,724956.1557295826,28985.254898231142,61104.88730441805,2344.46732107764
Birmingham,Alabama,SRSE,2030,1455393.219742279,705219.4987613403,787527.3368965414,-750173.7209809388,-51.54440125217702,-667865.8828457376,-45.88903354682409,82307.83813520113,11.671236867353787,605244.0217953885,33077.078177516836,65051.58468416467,1846.8141042701823,699740.1542390183,28644.816063987495,56707.0157491153,2435.350844420392
Birmingham,Alabama,SRSE,2031,1408367.275946535,678319.427472954,759644.013453046,-730047.8484735809,-51.83646772699476,-648723.262493489,-46.062080081880296,81324.58598009194,11.989128231674378,583236.5978418024,32754.714222256756,60344.93187081617,1983.1835380786283,676202.428878852,28229.265326192497,52590.04072811808,2622.2785198834113
Birmingham,Alabama,SRSE,2032,1355844.0604569844,654222.7551920159,730112.8580834345,-701621.3052649685,-51.74793515918701,-625731.2023735499,-46.15067621881594,75890.10289141862,11.600040244571543,564085.4153802969,32466.630636332662,55979.26134558494,1691.4478298013778,651355.0350154963,27833.63883742064,48694.024327915424,2230.1599026021704
Birmingham,Alabama,SRSE,2033,1339843.91634235,630387.2672609639,719168.874738424,-709456.649081386,-52.950693765743786,-620675.041603926,-46.32442884080942,88781.60747746006,14.0836612806627,544601.1356447394,32135.481699544525,51933.223451552534,1717.4264651275096,644435.3202259121,27421.03183234814,45063.4193550573,2249.103325106436
Birmingham,Alabama,SRSE,2034,1290575.3868787491,607464.621432259,690252.5873609524,-683110.7654464901,-52.93071388092954,-600322.7995177967,-46.515903342126705,82787.96592869342,13.628442382948794,525518.6017325537,31857.128694825926,48182.06496073243,1906.8260441469145,618819.0134233936,27072.560006887725,41868.6803350901,2492.333595580841
